ftype;n;abstool;resulttype;res
buggy;NA;noabs;#correct;12
buggy;NA;noabs;>=correct;4
buggy;1;us_acker;#correct;12
buggy;1;us_acker;>=correct;4
buggy;1;us_noacker;#correct;12
buggy;1;us_noacker;>=correct;4
buggy;1;vaphor;#correct;12
buggy;1;vaphor;>=correct;4
buggy;2;us_acker;#correct;3
buggy;2;us_acker;#solvertimeout;9
buggy;2;us_acker;>=correct;1
buggy;2;us_acker;>=solvertimeout;3
buggy;2;us_noacker;#solvertimeout;12
buggy;2;us_noacker;>=solvertimeout;4
buggy;2;vaphor;#correct;12
buggy;2;vaphor;>=correct;4
hinted;NA;noabs;#solvertimeout;33
hinted;NA;noabs;#unknown;3
hinted;NA;noabs;>=solvertimeout;11
hinted;NA;noabs;>=unknown;1
hinted;1;us_acker;#correct;30
hinted;1;us_acker;#solvertimeout;6
hinted;1;us_acker;>=correct;12
hinted;1;us_acker;>=solvertimeout;4
hinted;1;us_noacker;#correct;27
hinted;1;us_noacker;#solvertimeout;8
hinted;1;us_noacker;#unknown;1
hinted;1;us_noacker;>=correct;11
hinted;1;us_noacker;>=solvertimeout;4
hinted;1;us_noacker;>=unknown;1
hinted;1;vaphor;#correct;9
hinted;1;vaphor;#solvertimeout;25
hinted;1;vaphor;#unknown;2
hinted;1;vaphor;>=correct;5
hinted;1;vaphor;>=solvertimeout;10
hinted;1;vaphor;>=unknown;1
hinted;2;us_acker;#correct;15
hinted;2;us_acker;#solvertimeout;21
hinted;2;us_acker;>=correct;5
hinted;2;us_acker;>=solvertimeout;7
hinted;2;us_noacker;#solvertimeout;36
hinted;2;us_noacker;>=solvertimeout;12
hinted;2;vaphor;#solvertimeout;36
hinted;2;vaphor;>=solvertimeout;12
nothinted;NA;noabs;#solvertimeout;33
nothinted;NA;noabs;#unknown;3
nothinted;NA;noabs;>=solvertimeout;11
nothinted;NA;noabs;>=unknown;1
nothinted;1;us_acker;#correct;12
nothinted;1;us_acker;#solvertimeout;24
nothinted;1;us_acker;>=correct;4
nothinted;1;us_acker;>=solvertimeout;8
nothinted;1;us_noacker;#solvertimeout;36
nothinted;1;us_noacker;>=solvertimeout;12
nothinted;1;vaphor;#correct;3
nothinted;1;vaphor;#solvertimeout;33
nothinted;1;vaphor;>=correct;1
nothinted;1;vaphor;>=solvertimeout;11
nothinted;2;us_acker;#correct;9
nothinted;2;us_acker;#solvertimeout;26
nothinted;2;us_acker;#unknown;1
nothinted;2;us_acker;>=correct;3
nothinted;2;us_acker;>=solvertimeout;9
nothinted;2;us_acker;>=unknown;1
nothinted;2;us_noacker;#solvertimeout;36
nothinted;2;us_noacker;>=solvertimeout;12
nothinted;2;vaphor;#solvertimeout;36
nothinted;2;vaphor;>=solvertimeout;12
