file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.00  ; 120sdatabs ; 0:00.75  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.00  ; 120sdatabsacker ; 0:01.23  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.00  ; 30svaphor ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.00  ; dataabs2 ; 0:00.03  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.00  ; dataabs2acker ; 0:00.04  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.00  ; dataabs2c2 ; 0:00.48  ; 120sz3 ; timeout solver      ; 2:00.00 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.00  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.06 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava1 ; 0:00.00  ; 120sdatabs ; 0:01.07  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava1 ; 0:00.00  ; 120sdatabsacker ; 0:00.98  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava1 ; 0:00.00  ; 30svaphor ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava1 ; 0:00.00  ; dataabs2 ; 0:00.04  ; 120sz3 ; unsat      ; 0:00.06 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava1 ; 0:00.00  ; dataabs2acker ; 0:00.04  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava1 ; 0:00.00  ; dataabs2c2 ; 0:00.61  ; 120sz3 ; timeout solver      ; 2:00.00 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava1 ; 0:00.00  ; dataabs2c2acker ; 0:00.93  ; 120sz3 ; timeout solver      ; 2:00.09 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava1 ; 0:00.00  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava2 ; 0:00.00  ; 120sdatabs ; 0:00.98  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava2 ; 0:00.00  ; 120sdatabsacker ; 0:00.94  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava2 ; 0:00.00  ; 30svaphor ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava2 ; 0:00.00  ; dataabs2 ; 0:00.03  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava2 ; 0:00.00  ; dataabs2acker ; 0:00.05  ; 120sz3 ; unsat      ; 0:00.16 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava2 ; 0:00.00  ; dataabs2c2 ; 0:00.53  ; 120sz3 ; timeout solver      ; 2:00.00 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava2 ; 0:00.00  ; dataabs2c2acker ; 0:00.84  ; 120sz3 ; timeout solver      ; 2:00.13 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava2 ; 0:00.00  ; noabs ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.06 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ;  ; dataabs2c2acker ;  ; 120sz3 ;  ; 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.00  ; 120sdatabs ; 0:00.95  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.00  ; 120sdatabsacker ; 0:01.25  ; 120sz3 ; unsat      ; 0:00.06 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.00  ; 30svaphor ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.00  ; dataabs2 ; 0:00.04  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.00  ; dataabs2acker ; 0:00.05  ; 120sz3 ; unsat      ; 0:00.14 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.00  ; dataabs2c2 ; 0:00.62  ; 120sz3 ; timeout solver      ; 2:00.00 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.00  ; dataabs2c2acker ; 0:00.84  ; 120sz3 ; timeout solver      ; 2:00.21 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.00  ; noabs ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.06 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabs ; 0:01.09  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabsacker ; 0:01.17  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.00  ; 30svaphor ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.00  ; dataabs2 ; 0:00.03  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.00  ; dataabs2acker ; 0:00.05  ; 120sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.00  ; dataabs2c2 ; 0:00.56  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.00  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ;  ; dataabs2c2acker ;  ; 120sz3 ;  ; 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabs ; 0:01.04  ; 120sz3 ; unsat      ; 0:00.09 
