file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.01  ; 120sdatabs ; 0:01.41  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.01  ; 120sdatabsacker ; 0:01.46  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.01  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjava ; 0:00.01  ; noabs ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.01  ; 120sdatabs ; 0:01.33  ; 30sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.01  ; 120sdatabsacker ; 0:01.20  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.01  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted ; 0:00.01  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.06 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.01  ; 120sdatabs ; 0:01.28  ; 30sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.01  ; 120sdatabsacker ; 0:01.37  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.01  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted1 ; 0:00.01  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabs ; 0:00.95  ; 30sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabsacker ; 0:01.34  ; 30sz3 ; unsat      ; 0:00.06 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted2 ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted2 ; 0:00.00  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.06 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.02  ; 120sdatabs ; 0:01.59  ; 30sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.02  ; 120sdatabsacker ; 0:01.22  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.02  ; 30svaphor ; 0:00.02  ; 30sz3 ; unsat      ; 0:00.11 
